iter	Passed	Remaining
0	11	11901
1	21	10934
2	31	10462
3	41	10278
4	50	10119
5	60	10018
6	69	9919
7	79	9854
8	91	10041
9	100	9966
10	110	9936
11	119	9876
12	129	9818
13	138	9787
14	148	9772
15	158	9756
16	168	9730
17	175	9596
18	185	9570
19	194	9551
20	205	9567
21	215	9560
22	224	9531
23	235	9561
24	245	9587
25	255	9553
26	264	9535
27	273	9501
28	282	9475
29	292	9453
30	301	9431
31	310	9407
32	320	9385
33	329	9373
34	339	9366
35	349	9360
36	359	9349
37	369	9342
38	378	9322
39	389	9337
40	399	9336
41	409	9332
42	418	9316
43	428	9301
44	437	9284
45	446	9270
46	456	9257
47	466	9248
48	476	9252
49	487	9261
50	497	9264
51	507	9250
52	517	9239
53	526	9224
54	536	9217
55	544	9172
56	554	9170
57	564	9168
58	575	9174
59	586	9182
60	596	9179
61	605	9165
62	615	9153
63	625	9144
64	634	9133
65	644	9125
66	654	9117
67	664	9108
68	676	9122
69	687	9128
70	696	9117
71	706	9105
72	716	9098
73	725	9083
74	734	9062
75	743	9041
76	754	9040
77	764	9032
78	773	9021
79	783	9013
80	793	9003
81	803	8995
82	813	8992
83	824	8988
84	835	8996
85	845	8989
86	855	8977
87	867	8992
88	877	8982
89	887	8973
90	897	8963
91	907	8953
92	916	8942
93	927	8936
94	937	8926
95	947	8919
96	957	8909
97	967	8901
98	978	8906
99	988	8896
100	998	8884
101	1008	8875
102	1017	8864
103	1027	8854
104	1037	8844
105	1047	8834
106	1057	8825
107	1067	8816
108	1077	8805
109	1087	8796
110	1097	8786
111	1107	8778
112	1119	8784
113	1129	8774
114	1138	8763
115	1148	8750
116	1158	8739
117	1167	8723
118	1176	8706
119	1185	8695
120	1195	8684
121	1206	8679
122	1216	8671
123	1227	8668
124	1237	8665
125	1249	8666
126	1260	8664
127	1270	8655
128	1280	8646
129	1290	8635
130	1300	8624
131	1309	8610
132	1319	8598
133	1328	8586
134	1338	8573
135	1347	8561
136	1356	8547
137	1366	8534
138	1375	8519
139	1384	8504
140	1394	8492
141	1405	8490
142	1415	8481
143	1425	8471
144	1434	8458
145	1443	8445
146	1453	8432
147	1463	8423
148	1472	8410
149	1482	8398
150	1491	8386
151	1501	8375
152	1510	8363
153	1520	8352
154	1529	8340
155	1540	8333
156	1550	8325
157	1560	8313
158	1568	8297
159	1578	8284
160	1587	8272
161	1597	8261
162	1606	8250
163	1616	8238
164	1625	8227
165	1635	8215
166	1644	8203
167	1654	8192
168	1663	8181
169	1673	8170
170	1684	8167
171	1694	8156
172	1703	8144
173	1713	8134
174	1723	8123
175	1732	8110
176	1741	8099
177	1751	8087
178	1760	8074
179	1770	8063
180	1780	8055
181	1789	8043
182	1799	8032
183	1808	8020
184	1819	8014
185	1829	8007
186	1839	7998
187	1849	7987
188	1859	7979
189	1868	7967
190	1878	7956
191	1887	7945
192	1897	7933
193	1907	7922
194	1916	7910
195	1925	7899
196	1934	7887
197	1944	7876
198	1955	7872
199	1964	7859
200	1973	7846
201	1983	7834
202	1992	7822
203	2001	7810
204	2011	7799
205	2020	7787
206	2029	7775
207	2039	7764
208	2048	7753
209	2058	7743
210	2067	7732
211	2077	7721
212	2086	7710
213	2097	7705
214	2108	7697
215	2117	7686
216	2127	7675
217	2137	7667
218	2146	7653
219	2155	7642
220	2164	7630
221	2174	7619
222	2183	7608
223	2193	7597
224	2202	7586
225	2211	7575
226	2221	7563
227	2230	7552
228	2239	7540
229	2260	7569
230	2284	7606
231	2304	7627
232	2321	7641
233	2336	7649
234	2346	7640
235	2363	7651
236	2374	7645
237	2384	7634
238	2394	7623
239	2404	7613
240	2415	7606
241	2424	7595
242	2434	7583
243	2444	7572
244	2453	7561
245	2463	7550
246	2473	7539
247	2482	7527
248	2492	7516
249	2501	7504
250	2510	7492
251	2520	7481
252	2529	7469
253	2540	7460
254	2551	7454
255	2561	7443
256	2571	7433
257	2581	7423
258	2590	7412
259	2600	7402
260	2610	7390
261	2620	7380
262	2629	7368
263	2639	7357
264	2649	7348
265	2658	7336
266	2668	7325
267	2677	7314
268	2688	7306
269	2699	7297
270	2709	7287
271	2718	7276
272	2728	7266
273	2737	7253
274	2747	7243
275	2757	7233
276	2766	7221
277	2776	7210
278	2785	7199
279	2795	7188
280	2804	7176
281	2814	7165
282	2827	7163
283	2838	7155
284	2847	7144
285	2857	7132
286	2866	7122
287	2876	7110
288	2885	7099
289	2895	7088
290	2904	7077
291	2914	7066
292	2923	7055
293	2932	7042
294	2942	7030
295	2950	7017
296	2960	7006
297	2969	6996
298	2980	6988
299	2992	6981
